# eta f fp fpp
2.9100000000 1.321331461213e+00 8.310645405478e-01 1.715359665860e-01
2.9200000000 1.329650664530e+00 8.327742344478e-01 1.704028797392e-01
2.9300000000 1.337986908139e+00 8.344725995969e-01 1.692702292043e-01
2.9400000000 1.346340078775e+00 8.361596407423e-01 1.681380918119e-01
2.9500000000 1.354710063226e+00 8.378353633990e-01 1.670065441983e-01
2.9600000000 1.363096748336e+00 8.394997738469e-01 1.658756627912e-01
2.9700000000 1.371500021019e+00 8.411528791295e-01 1.647455237956e-01
2.9800000000 1.379919768261e+00 8.427946870507e-01 1.636162031795e-01
2.9900000000 1.388355877130e+00 8.444252061733e-01 1.624877766596e-01
3.0000000000 1.396808234786e+00 8.460444458157e-01 1.613603196877e-01
3.0100000000 1.405276728482e+00 8.476524160495e-01 1.602339074363e-01
3.0200000000 1.413761245578e+00 8.492491276964e-01 1.591086147851e-01
3.0300000000 1.422261673546e+00 8.508345923257e-01 1.579845163074e-01
3.0400000000 1.430777899976e+00 8.524088222506e-01 1.568616862558e-01
3.0500000000 1.439309812585e+00 8.539718305253e-01 1.557401985497e-01
3.0600000000 1.447857299227e+00 8.555236309413e-01 1.546201267608e-01
3.0700000000 1.456420247893e+00 8.570642380242e-01 1.535015441008e-01
3.0800000000 1.464998546727e+00 8.585936670298e-01 1.523845234075e-01
3.0900000000 1.473592084027e+00 8.601119339404e-01 1.512691371322e-01
3.1000000000 1.482200748254e+00 8.616190554607e-01 1.501554573266e-01
3.1100000000 1.490824428043e+00 8.631150490139e-01 1.490435556301e-01
3.1200000000 1.499463012202e+00 8.645999327377e-01 1.479335032570e-01
3.1300000000 1.508116389727e+00 8.660737254794e-01 1.468253709843e-01
3.1400000000 1.516784449807e+00 8.675364467921e-01 1.457192291391e-01
3.1500000000 1.525467081826e+00 8.689881169298e-01 1.446151475866e-01
3.1600000000 1.534164175378e+00 8.704287568428e-01 1.435131957176e-01
3.1700000000 1.542875620268e+00 8.718583881727e-01 1.424134424372e-01
3.1800000000 1.551601306520e+00 8.732770332481e-01 1.413159561526e-01
3.1900000000 1.560341124388e+00 8.746847150788e-01 1.402208047619e-01
3.2000000000 1.569094964357e+00 8.760814573509e-01 1.391280556422e-01
3.2100000000 1.577862717151e+00 8.774672844220e-01 1.380377756389e-01
3.2200000000 1.586644273745e+00 8.788422213151e-01 1.369500310541e-01
3.2300000000 1.595439525363e+00 8.802062937136e-01 1.358648876360e-01
3.2400000000 1.604248363492e+00 8.815595279556e-01 1.347824105684e-01
3.2500000000 1.613070679885e+00 8.829019510281e-01 1.337026644595e-01
3.2600000000 1.621906366567e+00 8.842335905614e-01 1.326257133322e-01
3.2700000000 1.630755315845e+00 8.855544748228e-01 1.315516206134e-01
3.2800000000 1.639617420309e+00 8.868646327111e-01 1.304804491245e-01
3.2900000000 1.648492572843e+00 8.881640937501e-01 1.294122610713e-01
3.3000000000 1.657380666628e+00 8.894528880825e-01 1.283471180343e-01
3.3100000000 1.666281595152e+00 8.907310464639e-01 1.272850809596e-01
3.3200000000 1.675195252209e+00 8.919986002559e-01 1.262262101496e-01
3.3300000000 1.684121531915e+00 8.932555814200e-01 1.251705652537e-01
3.3400000000 1.693060328704e+00 8.945020225107e-01 1.241182052601e-01
3.3500000000 1.702011537342e+00 8.957379566692e-01 1.230691884866e-01
3.3600000000 1.710975052927e+00 8.969634176166e-01 1.220235725725e-01
3.3700000000 1.719950770898e+00 8.981784396467e-01 1.209814144703e-01
3.3800000000 1.728938587039e+00 8.993830576195e-01 1.199427704378e-01
3.3900000000 1.737938397488e+00 9.005773069542e-01 1.189076960305e-01
3.4000000000 1.746950098736e+00 9.017612236217e-01 1.178762460938e-01
3.4100000000 1.755973587640e+00 9.029348441380e-01 1.168484747555e-01
3.4200000000 1.765008761422e+00 9.040982055568e-01 1.158244354194e-01
3.4300000000 1.774055517679e+00 9.052513454620e-01 1.148041807574e-01
3.4400000000 1.783113754387e+00 9.063943019606e-01 1.137877627039e-01
3.4500000000 1.792183369903e+00 9.075271136754e-01 1.127752324485e-01
3.4600000000 1.801264262975e+00 9.086498197371e-01 1.117666404300e-01
3.4700000000 1.810356332744e+00 9.097624597771e-01 1.107620363306e-01
3.4800000000 1.819459478751e+00 9.108650739198e-01 1.097614690700e-01
3.4900000000 1.828573600938e+00 9.119577027751e-01 1.087649867997e-01
3.5000000000 1.837698599659e+00 9.130403874303e-01 1.077726368977e-01
3.5100000000 1.846834375678e+00 9.141131694429e-01 1.067844659637e-01
3.5200000000 1.855980830179e+00 9.151760908322e-01 1.058005198136e-01
3.5300000000 1.865137864768e+00 9.162291940719e-01 1.048208434754e-01
3.5400000000 1.874305381477e+00 9.172725220819e-01 1.038454811845e-01
3.5500000000 1.883483282770e+00 9.183061182205e-01 1.028744763796e-01
